market,symbol,korean_name,english_name,sector,price_krw,change_24h_pct,trade_value_24h_krw,rsi14,obv20_norm,obv_divergence,adx14,plus_di,minus_di,ma20,ma60,ma120,trend,market_warning,candle_days
KRW-WLFI,WLFI,월드리버티파이낸셜,World Liberty Financial,기타/신규·세부검토,74.6,0,701899569.1307777,33.17695835034776,0.38631068900386106,강세 다이버전스,16.050508132275034,20.159245031545133,22.11002852462679,78.45,84.43666666666667,91.315,약한 하락,NONE,200
KRW-VVV,VVV,베니스토큰,Venice Token,기타/신규·세부검토,17030.0,4.60687961,701385521.1386374,48.08352892458908,0.2409627118098461,강세 다이버전스,9.588330784512948,23.003145533357355,18.61532716453921,17437.5,18766.5,,약한 하락,NONE,91
KRW-AKT,AKT,아카시네트워크,Akash Network,인프라/오라클/데이터,702.0,0.28571429,699662989.010631,44.483502578525936,0.20194992882607038,강세 다이버전스,22.46239724867036,19.967816636184832,21.64186360100811,691.65,874.8,919.3916666666667,중립/횡보,NONE,200
KRW-MOODENG,MOODENG,무뎅,Moo Deng,기타/신규·세부검토,54.8,-0.54446461,666330608.3630227,52.74686194717386,0.30563006007671156,강세 다이버전스,14.029925102608667,33.28853812822444,16.542470671401524,52.295,57.294999999999995,68.23833333333333,중립/횡보,NONE,200
KRW-ELSA,ELSA,헤이엘사,HeyElsa,기타/신규·세부검토,83.0,3.10559006,658296837.3013631,64.83425375844627,0.6477390718936635,없음,30.650411781126504,25.13662100937647,11.244295220857047,73.66499999999999,71.83333333333333,85.03333333333333,강한 상승,NONE,200
KRW-ENS,ENS,이더리움네임서비스,Ethereum Name Service,기타/신규·세부검토,5935.0,-0.16820858,647620597.7642558,38.16382674713293,-0.350881326140183,없음,11.481118161131693,16.781963360306108,18.764269157702547,6172.5,6539.0,7743.75,약한 하락,NONE,200
KRW-INJ,INJ,인젝티브,Injective,DeFi/DEX,6280.0,3.97350993,646550064.1287802,37.58866980729305,-0.5827979299612098,없음,13.77216204765557,15.589769108410316,28.9660079843105,6912.0,7226.5,7003.608333333334,약한 하락,NONE,200
KRW-ZAMA,ZAMA,자마,Zama,기타/신규·세부검토,64.2,2.22929936,630206595.7703334,44.996252197137,0.5285973107222621,없음,37.02142415520365,22.90840976795607,15.877946784668946,74.65,58.33166666666667,,강한 상승,NONE,119
KRW-PROVE,PROVE,서싱트,Succinct,기타/신규·세부검토,221.0,-1.7777777799999999,601334629.1013458,27.37804403650196,0.13811017941957965,강세 다이버전스,19.881929843088137,30.397399205870872,26.876265101574106,246.65,280.7,317.475,약한 하락,NONE,200
KRW-DOOD,DOOD,두들즈,Doodles,기타/신규·세부검토,1.98,-1.0,587425156.6970472,48.846990016966814,-0.12486529141879155,없음,17.04577392326394,30.16180336636866,17.805719065612102,1.9535,2.142333333333333,3.1070833333333336,중립/횡보,NONE,200
KRW-SAND,SAND,샌드박스,The Sandbox,게임/메타버스/NFT,59.0,1.8998272900000002,574457745.901512,36.9539165796539,-0.26929400016296556,없음,29.470259847888848,11.177528657557135,22.001196751184672,61.614999999999995,70.43,88.61166666666666,강한 하락,NONE,200
KRW-KAT,KAT,카타나,Katana,기타/신규·세부검토,6.52,-1.80722892,560280500.7774874,44.754814825169106,0.06937383457575788,강세 다이버전스,10.724235501804358,24.134423744513363,15.482963848341333,6.526000000000001,7.355666666666666,10.3775,약한 하락,NONE,138
KRW-BORA,BORA,보라,BORA,게임/메타버스/NFT,27.7,0,550940539.2416686,33.35685019688371,0.42680917129299867,강세 다이버전스,22.531375464352948,27.677334773443768,19.349718402794817,30.119999999999997,34.625,42.684999999999995,약한 하락,NONE,200
KRW-TRUMP,TRUMP,오피셜트럼프,Official Trump,밈,2117.0,1.34035424,531565538.1576082,40.183168427938774,-0.3782502143345827,없음,13.923593870069718,18.481170596192257,20.393105162599838,2150.8,2445.9666666666667,2922.858333333333,약한 하락,NONE,200
KRW-HYPER,HYPER,하이퍼레인,Hyperlane,기타/신규·세부검토,90.0,0.11123470999999999,526385721.1102665,46.32154626806009,0.431539996162251,강세 다이버전스,28.742464253111887,30.518477464028326,14.817851780313818,89.21000000000001,104.02166666666668,127.28500000000001,강한 추세·혼조,NONE,200
KRW-ID,ID,스페이스아이디,SPACE ID,기타/신규·세부검토,40.2,0,522206525.3592563,41.42646042476415,-0.2546594417143142,없음,20.0045637017109,18.861711984123858,21.634217609065182,40.894999999999996,47.87833333333333,47.22083333333333,약한 하락,NONE,200
KRW-STORJ,STORJ,스토리지,Storj,기타/신규·세부검토,64.8,-0.1540832,517360573.6495708,16.15128098756867,-0.877887706020132,없음,33.2211379447599,14.756211307635926,24.47253473858441,79.3,101.73333333333333,125.575,강한 하락,NONE,200
KRW-POWR,POWR,파워렛저,Power ledger,기타/신규·세부검토,55.3,0.91240876,516425528.6519889,38.219655211268794,0.4819577250657168,강세 다이버전스,21.209323621856814,27.804379955955785,23.298835459510666,58.165,64.64,78.58500000000001,약한 하락,NONE,200
KRW-MEGA,MEGA,메가이더,MegaETH,기타/신규·세부검토,52.1,2.76134122,504907385.6545324,33.009084366417326,-0.3090327580363679,없음,25.902782888824017,13.240339184028942,21.759373300169937,55.1,68.74,,강한 하락,NONE,103
KRW-BERA,BERA,베라체인,Berachain,기타/신규·세부검토,218.0,1.39534884,498775388.9463522,32.301951391048846,-0.20675691759539266,없음,44.37021116485962,7.484898511275038,22.5090754533885,234.55,291.15,415.4916666666667,강한 하락,NONE,200
KRW-POL,POL,폴리곤에코시스템토큰,Polygon Ecosystem Token,L2/확장성,109.0,0.9259259299999999,479950560.4210045,49.496577860712385,-0.16142413525940563,없음,22.84771975750513,17.484377379277603,15.746081995589178,107.3,112.68333333333334,123.88333333333334,중립/횡보,NONE,200
KRW-WAVES,WAVES,웨이브,Waves,기타/신규·세부검토,287.0,-0.34722222,462120449.66580236,19.40166237496321,-0.6404236657394218,없음,31.178718263935167,11.157174686630517,27.668271480942188,320.35,375.4166666666667,471.46666666666664,강한 하락,NONE,200
KRW-CFG,CFG,센트리퓨즈,Centrifuge,기타/신규·세부검토,233.0,2.19298246,441976090.0557462,39.248840235661646,-0.3121326993122203,없음,21.67920417953277,12.01191009956016,22.194608581886676,248.35,283.28333333333336,326.19166666666666,약한 하락,NONE,166
